VESSEL	LOD
Motor boat	motorový čln
Motor vessel	motorová loď
Seagoing ship	námorná loď
Sailing vessel	plachetnica (obchodná)
Yacht	jachta
Motor yacht	motorová jachta
Sailing yacht	plachetnica
Cabin yacht	kajutová plachetnica
Motor sailer	motorová plachetnica
Sloop	šlup
Ketch	keč
Yawl	jola
Schooner	škuner
Dinghy	ľahký čln
Craft	plavidlo
Pleasure craft	rekreačné plavidlo
Cruiser	turistická jachta
Racer	pretekárska jachta
Life boat	záchranný čln
Rescue boat	záchranný čln
Open boat	otvorený (bezkajutový) čln
Displacement	výtlak
Hull	trup
Round bilged hull	zaoblený trup
Hard chine hull	lomený trup
Transom stern	plochá korma
Fin keel	plutevový kýl
Sail area	plocha oplachtění
Forecastle	predná kajúta
Chain locker	komora kotvovej reťaze
Cabin, saloon	kajuta
Berth	koja
Quater berth	kormová koja
Galley	kuchyňa
Table	stôl
Bulkhead	prieka
Companion way	vchod do kajuty
Engine compartment	motorový priestor
Freshwater tank	tank na sladkú vodu
Hatch	kryt
Cockpit	kokpit
Self-draining cockpit	samovylievací kokpit
Sail locker	priestor na plachty
Bow, forward	prora, predná časť lode
Stern, aft	korma, zadná časť lode
Length	dĺžka
Length overall	najväčšia dĺžka
Length on the waterline	najväčšia dĺžka na vodorez
Beam, breath	šírka
Port side	lavobok
Starboard	pravobok
Stem	čelén
Wood keel	drevený kýl
Ballast keel	balastová plutva
Sternpost	kormovka
Rudder	kormidlo
Tiller	kormidlová páka
Deck	paluba
Boat deck	článková paluba
Bilges	stoky
Pulpit	predný kôš
Stern pulpit	zadný kôš
Guardrail	palubné zábradlie
Lifeline	bezpečnostné lano
Gros/net registered tonn	priestorovosť hrubá/čistá
Planking	lišťová obšívka
Skin	obšívka
Frame	rebro, rám
Floor	podlaha
Depth	hĺbka
Headroom	výška kajuty
Draught, draft	ponor
Waterline	vodná čiara
Topside	bok trupu (nad vodnou čiarou)
Bottom	dno
Freeboard	voľný bok
RIGGING	TAKELÁŽ
Standing rigging	pevné lanoví
Running rigging	pohyblivé lanoví
Mast	sťažeň
Fore mast	predný sťažeň
Main mast	hlavný sťažeň
Mizzen mast	zadný sťažeň
Boom	rahno
Shroud	bočný steh
